Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,0.0
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,0.0
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,90.92702269554138
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,74.02
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,71.03
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,71.39
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,75.26
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,73.63
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,71.88
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,71.97
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,90.46
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,85.82
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,85.69
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,87.72
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,86.21
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,89.73
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,84.34
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,85.63
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,88.67
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,89.37
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,91.46
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,90.08
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,83.94
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,83.44
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,88.18
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,92.28
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,84.86
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,86.14
Sit_chair_leg_crossed (7/1),Exp_2025-07-01-v3/E9AD0E7DCC2B/,86.11
Sit_floor (7/1),Exp_2025-07-01-v4/E9AD0E7DCC2B/,87.55
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,89.95
Sit_chair (7/2),Exp_2025-07-02-v2/E9AD0E7DCC2B/,90.5
Sit_chair_leg_crossed (7/2),Exp_2025-07-02-v3/E9AD0E7DCC2B/,87.46
Sit_floor (7/2),Exp_2025-07-02-v4/E9AD0E7DCC2B/,70.42
Stand (7/3),Exp_2025-07-03-v1/E9AD0E7DCC2B/,71.6
Sit_chair (7/3),Exp_2025-07-03-v2/E9AD0E7DCC2B/,82.2
Sit_chair_leg_crossed (7/3),Exp_2025-07-03-v3/E9AD0E7DCC2B/,83.15
Sit_floor (7/3),Exp_2025-07-03-v4/E9AD0E7DCC2B/,70.54
Stand (7/7),Exp_2025-07-07-v1/E9AD0E7DCC2B/,87.53
Sit_chair (7/7),Exp_2025-07-07-v2/E9AD0E7DCC2B/,84.74
Sit_chair_leg_crossed (7/7),Exp_2025-07-07-v3/E9AD0E7DCC2B/,87.77
Sit_floor (7/7),Exp_2025-07-07-v4/E9AD0E7DCC2B/,89.11
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,90.25
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,86.64
Sit_chair_leg_crossed (7/9),Exp_2025-07-09-v3/E9AD0E7DCC2B/,89.1
Sit_floor (7/9),Exp_2025-07-09-v4/E9AD0E7DCC2B/,89.98
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,92.03
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,91.4
Sit_chair_leg_crossed (7/10),Exp_2025-07-10-v3/E9AD0E7DCC2B/,91.43
Sit_floor (7/10),Exp_2025-07-10-v4/E9AD0E7DCC2B/,91.36
