Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,93.0232584476471
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,77.84
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,86.54
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,85.78
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,71.08
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,75.44
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,77.79
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,74.2
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,73.64
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,75.75
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,69.5
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,73.03
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,72.7
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,82.64
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,81.07
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,86.48
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,86.62
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,81.5
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,84.21
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,84.36
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,85.51
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,84.26
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,87.36
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,88.67
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,88.62
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,78.91
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,83.2
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,85.94
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,87.98
