Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,0.0
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,0.0
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,0.0
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,0.0
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,0.0
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,0.0
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,0.0
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,0.0
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,91.68886542320251
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,90.73
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,93.0
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,90.16
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,90.9
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,94.45
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,95.16
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,93.24
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,86.93
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,87.75
Sit_chair_leg_crossed (7/1),Exp_2025-07-01-v3/E9AD0E7DCC2B/,90.27
Sit_floor (7/1),Exp_2025-07-01-v4/E9AD0E7DCC2B/,89.19
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,93.33
Sit_chair (7/2),Exp_2025-07-02-v2/E9AD0E7DCC2B/,89.54
Sit_chair_leg_crossed (7/2),Exp_2025-07-02-v3/E9AD0E7DCC2B/,85.83
Sit_floor (7/2),Exp_2025-07-02-v4/E9AD0E7DCC2B/,71.42
Stand (7/3),Exp_2025-07-03-v1/E9AD0E7DCC2B/,72.64
Sit_chair (7/3),Exp_2025-07-03-v2/E9AD0E7DCC2B/,87.26
Sit_chair_leg_crossed (7/3),Exp_2025-07-03-v3/E9AD0E7DCC2B/,88.11
Sit_floor (7/3),Exp_2025-07-03-v4/E9AD0E7DCC2B/,69.61
Stand (7/7),Exp_2025-07-07-v1/E9AD0E7DCC2B/,92.1
Sit_chair (7/7),Exp_2025-07-07-v2/E9AD0E7DCC2B/,92.37
Sit_chair_leg_crossed (7/7),Exp_2025-07-07-v3/E9AD0E7DCC2B/,92.58
Sit_floor (7/7),Exp_2025-07-07-v4/E9AD0E7DCC2B/,93.01
