Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,97.67441749572754
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,80.9
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,86.22
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,83.28
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,69.68
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,75.39
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,78.18
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,73.47
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,71.03
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,77.15
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,72.04
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,74.61
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,75.46
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,82.57
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,83.95
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,86.62
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,84.97
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,81.16
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,84.01
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,83.12
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,83.59
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,85.54
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,85.49
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,85.07
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,88.23
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,79.43
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,82.18
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,84.33
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,86.71
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,80.74
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,83.38
Sit_chair_leg_crossed (7/1),Exp_2025-07-01-v3/E9AD0E7DCC2B/,83.15
Sit_floor (7/1),Exp_2025-07-01-v4/E9AD0E7DCC2B/,84.83
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,88.37
Sit_chair (7/2),Exp_2025-07-02-v2/E9AD0E7DCC2B/,90.28
Sit_chair_leg_crossed (7/2),Exp_2025-07-02-v3/E9AD0E7DCC2B/,87.92
Sit_floor (7/2),Exp_2025-07-02-v4/E9AD0E7DCC2B/,69.61
Stand (7/3),Exp_2025-07-03-v1/E9AD0E7DCC2B/,70.51
Sit_chair (7/3),Exp_2025-07-03-v2/E9AD0E7DCC2B/,78.98
Sit_chair_leg_crossed (7/3),Exp_2025-07-03-v3/E9AD0E7DCC2B/,81.66
Sit_floor (7/3),Exp_2025-07-03-v4/E9AD0E7DCC2B/,66.42
Stand (7/7),Exp_2025-07-07-v1/E9AD0E7DCC2B/,87.18
Sit_chair (7/7),Exp_2025-07-07-v2/E9AD0E7DCC2B/,86.18
Sit_chair_leg_crossed (7/7),Exp_2025-07-07-v3/E9AD0E7DCC2B/,87.61
Sit_floor (7/7),Exp_2025-07-07-v4/E9AD0E7DCC2B/,88.77
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,89.66
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,85.75
Sit_chair_leg_crossed (7/9),Exp_2025-07-09-v3/E9AD0E7DCC2B/,90.65
Sit_floor (7/9),Exp_2025-07-09-v4/E9AD0E7DCC2B/,89.84
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,91.38
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,92.07
Sit_chair_leg_crossed (7/10),Exp_2025-07-10-v3/E9AD0E7DCC2B/,91.03
Sit_floor (7/10),Exp_2025-07-10-v4/E9AD0E7DCC2B/,91.49
