Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,0.0
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,0.0
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,0.0
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,0.0
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,0.0
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,0.0
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,0.0
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,92.10698008537292
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,90.6
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,92.57
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,95.14
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,90.54
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,90.48
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,92.43
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,89.58
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,89.47
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,94.32
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,95.07
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,92.84
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,87.08
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,87.15
Sit_chair_leg_crossed (7/1),Exp_2025-07-01-v3/E9AD0E7DCC2B/,90.37
Sit_floor (7/1),Exp_2025-07-01-v4/E9AD0E7DCC2B/,88.65
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,91.46
Sit_chair (7/2),Exp_2025-07-02-v2/E9AD0E7DCC2B/,88.11
Sit_chair_leg_crossed (7/2),Exp_2025-07-02-v3/E9AD0E7DCC2B/,86.37
Sit_floor (7/2),Exp_2025-07-02-v4/E9AD0E7DCC2B/,70.41
Stand (7/3),Exp_2025-07-03-v1/E9AD0E7DCC2B/,71.94
Sit_chair (7/3),Exp_2025-07-03-v2/E9AD0E7DCC2B/,86.0
Sit_chair_leg_crossed (7/3),Exp_2025-07-03-v3/E9AD0E7DCC2B/,87.89
Sit_floor (7/3),Exp_2025-07-03-v4/E9AD0E7DCC2B/,70.38
Stand (7/7),Exp_2025-07-07-v1/E9AD0E7DCC2B/,92.16
Sit_chair (7/7),Exp_2025-07-07-v2/E9AD0E7DCC2B/,92.23
Sit_chair_leg_crossed (7/7),Exp_2025-07-07-v3/E9AD0E7DCC2B/,92.6
Sit_floor (7/7),Exp_2025-07-07-v4/E9AD0E7DCC2B/,94.13
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,91.81
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,91.46
Sit_chair_leg_crossed (7/9),Exp_2025-07-09-v3/E9AD0E7DCC2B/,92.66
Sit_floor (7/9),Exp_2025-07-09-v4/E9AD0E7DCC2B/,92.83
