0,1,2
23.76349,-7.7229447,12.164088
26.869612,16.923557,3.2426658
29.625507,9.44108,-1.3859456
20.646448,10.133954,-1.2718652
20.28644,-16.09887,-8.76367
15.572567,5.3680873,2.1032298
29.222303,-4.208264,-3.40787
22.196001,18.186266,8.783979
22.798018,-5.5880146,2.512513
16.971857,-26.492956,-0.8129384
22.909128,20.067486,6.930703
20.278465,16.204847,12.4889
16.156715,-4.9138846,21.822338
15.533043,-27.612215,1.5611621
30.909206,1.78946,-5.0773196
24.98661,-7.851136,-10.522498
10.177439,5.4382324,18.804754
9.6466,2.0342834,20.160028
18.73037,11.683376,8.717956
27.521812,9.598721,-1.1849791
5.837188,1.559591,22.155476
24.522192,16.424519,0.049854636
17.32731,-17.669338,5.95401
13.686607,14.549537,-1.280907
24.701445,17.64756,3.4205022
26.648954,19.363052,7.0803146
18.872164,-22.336239,-0.48833275
17.544464,-0.3162743,11.334048
29.163382,10.966031,12.345239
28.19165,20.09244,1.0329182
12.852854,-24.111267,7.086237
20.313463,-14.111866,10.975677
18.674776,-13.394651,12.884508
22.522224,-16.362135,-9.360546
24.74696,-14.392795,12.299318
16.683985,-22.298168,0.26846611
25.58746,-11.111101,-10.461795
16.736858,-3.3966913,19.15555
23.916058,-13.424815,-0.8547697
15.701259,6.1993723,9.591591
18.511976,-9.174472,-1.5398829
19.471216,0.07171691,8.3330145
26.8947,16.55161,9.706778
15.259048,13.090265,11.430749
17.39241,13.530795,-3.6877952
31.366014,7.6303806,1.1164888
14.351822,8.927089,6.0628424
22.243246,21.291311,0.46155092
24.1825,3.4536207,3.729258
18.811092,8.811554,1.1337101
18.08664,-8.146397,14.369
21.377901,16.04008,2.6677694
13.940818,-18.347383,0.97399884
26.904886,4.9624867,9.369853
21.270876,-12.204158,1.8445947
14.544375,-16.861311,6.3740964
27.807926,13.451186,7.0483065
22.061493,8.32036,-1.7131529
23.22181,-10.829027,-5.234788
25.569195,25.366982,1.5958691
27.958952,-3.4540021,-1.5432751
19.508263,1.2211869,8.865592
26.98571,-12.285765,-12.444289
25.494453,-2.7273126,2.5042965
22.813787,19.972145,-3.4171531
23.46474,-8.703652,-0.11408923
14.119573,-20.053543,12.957371
26.299623,21.864534,6.505228
27.568333,7.60485,0.52834994
26.221428,10.358341,5.0013046
23.273659,17.971344,-2.982128
18.175047,-6.761227,10.249814
28.46976,-0.5654348,-2.8573527
25.817837,15.060349,-2.057567
20.526442,-12.136348,1.1686206
18.903444,-15.004937,11.434674
24.182936,2.3050184,7.2780895
17.741394,16.173214,-5.7412205
26.625734,18.761488,-5.857425
21.076956,19.694626,2.8222785
23.71664,13.227125,1.5080719
30.565542,7.3314285,-0.67182523
23.088614,17.67226,-5.214074
24.791216,5.6785984,8.288928
19.094572,-16.212019,-0.9906961
20.418829,15.689892,11.861433
22.084024,21.810146,-1.9034694
26.545145,19.944954,-4.00856
16.199024,9.194268,-1.2577878
23.101442,-2.4784906,-6.263838
24.284925,7.406991,21.365555
