Info,Info_Set,Accuracy
Stand (8/1),Exp_2025-08-01-v1/E9AD0E7DCC2B/,0.0
Sit_chair (8/1),Exp_2025-08-01-v2/E9AD0E7DCC2B/,0.0
Stand (8/2),Exp_2025-08-02-v1/E9AD0E7DCC2B/,0.0
Sit_chair (8/2),Exp_2025-08-02-v2/E9AD0E7DCC2B/,0.0
Stand (8/9),Exp_2025-08-09-v1/E9AD0E7DCC2B/,93.04347634315491
Sit_chair (8/9),Exp_2025-08-09-v2/E9AD0E7DCC2B/,91.13
Stand (8/10),Exp_2025-08-10-v1/E9AD0E7DCC2B/,89.21
Sit_chair (8/10),Exp_2025-08-10-v2/E9AD0E7DCC2B/,89.28
Stand (8/11),Exp_2025-08-11-v1/E9AD0E7DCC2B/,89.46
Sit_chair (8/11),Exp_2025-08-11-v2/E9AD0E7DCC2B/,86.84
Stand (8/12),Exp_2025-08-12-v1/E9AD0E7DCC2B/,89.64
Sit_chair (8/12),Exp_2025-08-12-v2/E9AD0E7DCC2B/,90.22
Stand (8/13),Exp_2025-08-13-v1/E9AD0E7DCC2B/,89.08
Sit_chair (8/13),Exp_2025-08-13-v2/E9AD0E7DCC2B/,89.97
Stand (8/14),Exp_2025-08-14-v1/E9AD0E7DCC2B/,90.57
Sit_chair (8/14),Exp_2025-08-14-v2/E9AD0E7DCC2B/,90.45
Stand (8/15),Exp_2025-08-15-v1/E9AD0E7DCC2B/,87.0
Sit_chair (8/15),Exp_2025-08-15-v2/E9AD0E7DCC2B/,87.69
