Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,94.18604373931885
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,70.62
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,79.64
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,75.8
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,62.96
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,72.05
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,72.18
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,68.58
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,63.99
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,69.63
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,66.65
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,69.6
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,68.65
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,76.18
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,75.41
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,80.54
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,80.03
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,76.51
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,81.27
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,78.41
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,78.87
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,80.49
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,83.46
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,81.56
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,85.37
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,75.85
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,79.39
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,80.93
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,82.99
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,76.73
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,81.92
Sit_chair_leg_crossed (7/1),Exp_2025-07-01-v3/E9AD0E7DCC2B/,80.8
Sit_floor (7/1),Exp_2025-07-01-v4/E9AD0E7DCC2B/,82.4
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,86.1
Stand (7/7),Exp_2025-07-07-v1/E9AD0E7DCC2B/,86.74
Sit_chair (7/7),Exp_2025-07-07-v2/E9AD0E7DCC2B/,85.47
Sit_chair_leg_crossed (7/7),Exp_2025-07-07-v3/E9AD0E7DCC2B/,87.16
Sit_floor (7/7),Exp_2025-07-07-v4/E9AD0E7DCC2B/,87.91
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,87.67
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,85.13
Sit_chair_leg_crossed (7/9),Exp_2025-07-09-v3/E9AD0E7DCC2B/,87.56
Sit_floor (7/9),Exp_2025-07-09-v4/E9AD0E7DCC2B/,88.41
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,89.25
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,89.55
Sit_chair_leg_crossed (7/10),Exp_2025-07-10-v3/E9AD0E7DCC2B/,88.93
Sit_floor (7/10),Exp_2025-07-10-v4/E9AD0E7DCC2B/,88.59
Stand (7/11),Exp_2025-07-11-v1/E9AD0E7DCC2B/,89.24
Sit_chair (7/11),Exp_2025-07-11-v2/E9AD0E7DCC2B/,88.58
Sit_chair_leg_crossed (7/11),Exp_2025-07-11-v3/E9AD0E7DCC2B/,89.24
Sit_floor (7/11),Exp_2025-07-11-v4/E9AD0E7DCC2B/,88.25
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,89.61
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,87.68
Sit_floor (7/17),Exp_2025-07-17-v3/E9AD0E7DCC2B/,88.74
Stand (7/23),Exp_2025-07-23-v1/E9AD0E7DCC2B/,88.03
Sit_chair (7/23),Exp_2025-07-23-v2/E9AD0E7DCC2B/,86.54
Sit_floor (7/23),Exp_2025-07-23-v3/E9AD0E7DCC2B/,86.5
Stand (7/24),Exp_2025-07-24-v1/E9AD0E7DCC2B/,89.51
Sit_chair (7/24),Exp_2025-07-24-v2/E9AD0E7DCC2B/,89.35
Sit_floor (7/24),Exp_2025-07-24-v3/E9AD0E7DCC2B/,89.14
Stand (7/25),Exp_2025-07-25-v1/E9AD0E7DCC2B/,83.48
Sit_chair (7/25),Exp_2025-07-25-v2/E9AD0E7DCC2B/,85.56
Sit_floor (7/25),Exp_2025-07-25-v3/E9AD0E7DCC2B/,84.63
Stand (8/1),Exp_2025-08-01-v1/E9AD0E7DCC2B/,88.97
Sit_chair (8/1),Exp_2025-08-01-v2/E9AD0E7DCC2B/,88.7
Sit_floor (8/1),Exp_2025-08-01-v3/E9AD0E7DCC2B/,88.6
