Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,0.0
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,92.44186282157898
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,72.52
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,77.45
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,77.72
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,77.08
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,75.79
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,79.65
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,72.11
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,72.66
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,75.09
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,87.26
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,85.61
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,87.91
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,87.41
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,83.39
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,87.81
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,82.13
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,84.03
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,86.32
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,89.0
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,89.52
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,87.59
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,83.03
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,85.95
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,89.04
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,90.28
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,84.59
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,84.94
Sit_chair_leg_crossed (7/1),Exp_2025-07-01-v3/E9AD0E7DCC2B/,86.21
Sit_floor (7/1),Exp_2025-07-01-v4/E9AD0E7DCC2B/,87.58
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,89.6
Stand (7/7),Exp_2025-07-07-v1/E9AD0E7DCC2B/,88.61
Sit_chair (7/7),Exp_2025-07-07-v2/E9AD0E7DCC2B/,86.97
Sit_chair_leg_crossed (7/7),Exp_2025-07-07-v3/E9AD0E7DCC2B/,89.36
Sit_floor (7/7),Exp_2025-07-07-v4/E9AD0E7DCC2B/,90.15
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,90.2
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,87.96
Sit_chair_leg_crossed (7/9),Exp_2025-07-09-v3/E9AD0E7DCC2B/,88.6
Sit_floor (7/9),Exp_2025-07-09-v4/E9AD0E7DCC2B/,90.17
