Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,0.0
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,0.0
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,0.0
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,0.0
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,0.0
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,0.0
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,92.44966506958008
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,90.33
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,89.87
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,91.1
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,84.23
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,88.64
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,91.51
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,94.05
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,90.06
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,89.72
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,91.51
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,89.04
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,89.15
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,92.97
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,93.27
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,92.48
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,87.65
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,87.58
Sit_chair_leg_crossed (7/1),Exp_2025-07-01-v3/E9AD0E7DCC2B/,90.01
Sit_floor (7/1),Exp_2025-07-01-v4/E9AD0E7DCC2B/,88.63
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,90.68
Stand (7/7),Exp_2025-07-07-v1/E9AD0E7DCC2B/,91.66
Sit_chair (7/7),Exp_2025-07-07-v2/E9AD0E7DCC2B/,91.51
Sit_chair_leg_crossed (7/7),Exp_2025-07-07-v3/E9AD0E7DCC2B/,91.37
Sit_floor (7/7),Exp_2025-07-07-v4/E9AD0E7DCC2B/,92.53
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,91.22
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,90.53
Sit_chair_leg_crossed (7/9),Exp_2025-07-09-v3/E9AD0E7DCC2B/,90.48
Sit_floor (7/9),Exp_2025-07-09-v4/E9AD0E7DCC2B/,91.4
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,92.6
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,92.19
Sit_chair_leg_crossed (7/10),Exp_2025-07-10-v3/E9AD0E7DCC2B/,93.18
Sit_floor (7/10),Exp_2025-07-10-v4/E9AD0E7DCC2B/,92.76
Stand (7/11),Exp_2025-07-11-v1/E9AD0E7DCC2B/,92.44
Sit_chair (7/11),Exp_2025-07-11-v2/E9AD0E7DCC2B/,92.85
Sit_chair_leg_crossed (7/11),Exp_2025-07-11-v3/E9AD0E7DCC2B/,93.35
Sit_floor (7/11),Exp_2025-07-11-v4/E9AD0E7DCC2B/,92.59
Sit_chair (7/15),Exp_2025-07-15-v2/E9AD0E7DCC2B/,90.74
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,93.0
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,90.34
Sit_floor (7/17),Exp_2025-07-17-v3/E9AD0E7DCC2B/,91.5
