Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,0.0
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,0.0
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,91.91321730613708
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,73.55
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,71.37
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,71.93
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,73.47
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,71.94
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,71.05
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,72.89
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,89.59
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,85.91
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,84.54
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,85.56
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,85.82
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,89.97
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,83.06
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,85.15
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,87.69
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,89.71
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,90.99
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,90.09
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,82.88
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,82.56
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,88.06
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,91.55
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,83.46
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,85.11
Sit_chair_leg_crossed (7/1),Exp_2025-07-01-v3/E9AD0E7DCC2B/,85.43
Sit_floor (7/1),Exp_2025-07-01-v4/E9AD0E7DCC2B/,87.1
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,89.3
Stand (7/7),Exp_2025-07-07-v1/E9AD0E7DCC2B/,86.67
Sit_chair (7/7),Exp_2025-07-07-v2/E9AD0E7DCC2B/,84.38
Sit_chair_leg_crossed (7/7),Exp_2025-07-07-v3/E9AD0E7DCC2B/,88.17
Sit_floor (7/7),Exp_2025-07-07-v4/E9AD0E7DCC2B/,88.98
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,89.94
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,86.47
Sit_chair_leg_crossed (7/9),Exp_2025-07-09-v3/E9AD0E7DCC2B/,88.97
Sit_floor (7/9),Exp_2025-07-09-v4/E9AD0E7DCC2B/,89.66
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,90.96
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,90.23
Sit_chair_leg_crossed (7/10),Exp_2025-07-10-v3/E9AD0E7DCC2B/,90.12
Sit_floor (7/10),Exp_2025-07-10-v4/E9AD0E7DCC2B/,90.27
Stand (7/11),Exp_2025-07-11-v1/E9AD0E7DCC2B/,91.65
Sit_chair (7/11),Exp_2025-07-11-v2/E9AD0E7DCC2B/,92.09
Sit_chair_leg_crossed (7/11),Exp_2025-07-11-v3/E9AD0E7DCC2B/,92.48
Sit_floor (7/11),Exp_2025-07-11-v4/E9AD0E7DCC2B/,92.44
Sit_chair (7/15),Exp_2025-07-15-v2/E9AD0E7DCC2B/,90.66
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,91.45
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,89.69
Sit_floor (7/17),Exp_2025-07-17-v3/E9AD0E7DCC2B/,90.21
