Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,0.0
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,0.0
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,0.0
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,0.0
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,0.0
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,91.65687561035156
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,85.68
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,88.96
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,88.96
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,92.6
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,89.62
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,89.91
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,92.23
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,85.63
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,88.4
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,90.91
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,93.46
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,89.93
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,89.92
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,91.24
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,88.99
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,88.61
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,92.01
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,92.26
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,92.3
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,85.95
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,86.5
Sit_chair_leg_crossed (7/1),Exp_2025-07-01-v3/E9AD0E7DCC2B/,89.2
Sit_floor (7/1),Exp_2025-07-01-v4/E9AD0E7DCC2B/,88.06
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,90.89
Stand (7/7),Exp_2025-07-07-v1/E9AD0E7DCC2B/,91.0
Sit_chair (7/7),Exp_2025-07-07-v2/E9AD0E7DCC2B/,91.08
Sit_chair_leg_crossed (7/7),Exp_2025-07-07-v3/E9AD0E7DCC2B/,91.55
Sit_floor (7/7),Exp_2025-07-07-v4/E9AD0E7DCC2B/,93.13
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,91.26
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,90.75
Sit_chair_leg_crossed (7/9),Exp_2025-07-09-v3/E9AD0E7DCC2B/,90.55
Sit_floor (7/9),Exp_2025-07-09-v4/E9AD0E7DCC2B/,91.07
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,92.4
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,92.64
Sit_chair_leg_crossed (7/10),Exp_2025-07-10-v3/E9AD0E7DCC2B/,93.07
Sit_floor (7/10),Exp_2025-07-10-v4/E9AD0E7DCC2B/,92.36
Stand (7/11),Exp_2025-07-11-v1/E9AD0E7DCC2B/,92.18
Sit_chair (7/11),Exp_2025-07-11-v2/E9AD0E7DCC2B/,92.49
Sit_chair_leg_crossed (7/11),Exp_2025-07-11-v3/E9AD0E7DCC2B/,92.98
Sit_floor (7/11),Exp_2025-07-11-v4/E9AD0E7DCC2B/,92.55
Sit_chair (7/15),Exp_2025-07-15-v2/E9AD0E7DCC2B/,90.26
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,92.65
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,90.92
Sit_floor (7/17),Exp_2025-07-17-v3/E9AD0E7DCC2B/,91.47
