Info,Info_Set,Accuracy
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,81.39534592628479
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,85.05
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,81.35
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,85.21
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,84.31
Stand (7/16),Exp_2025-07-16-v1/E9AD0E7DCC2B/,77.2
Sit_chair (7/16),Exp_2025-07-16-v2/E9AD0E7DCC2B/,80.84
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,83.91
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,83.99
Stand (7/24),Exp_2025-07-24-v1/E9AD0E7DCC2B/,82.23
Sit_chair (7/24),Exp_2025-07-24-v2/E9AD0E7DCC2B/,81.95
Stand (8/1),Exp_2025-08-01-v1/E9AD0E7DCC2B/,80.39
Sit_chair (8/1),Exp_2025-08-01-v2/E9AD0E7DCC2B/,84.37
