,0,1,2,3,4,5
0,3857.2,220.0,25.4,34.4,17.8,128.0
1,1251.2,561.8,179.8,296.2,165.6,1828.2
2,1463.6,520.4,599.0,278.6,254.2,1167.0
3,1618.0,462.6,561.2,1066.2,336.6,238.2
4,635.2,213.2,433.6,35.8,2426.8,538.2
5,977.2,276.6,289.6,353.2,156.8,2229.4
