0,1,2
-11.013053,1.2547514,2.2337618
30.088,-5.570348,3.0903769
-32.461613,13.163149,2.050439
-2.8574204,1.0533997,3.632759
-6.6051645,2.6595082,2.7120748
-5.8571863,3.1874235,3.9472306
35.40034,-2.9701908,4.240137
-18.651419,4.144185,0.73733
-0.5426159,0.65377074,6.5624375
17.332315,-0.42031258,7.0478506
21.29281,-1.0423954,5.8851295
28.746185,-3.335919,4.576223
40.17897,-4.290525,3.5823913
-12.186415,5.4221187,3.055138
23.540983,-1.5669882,5.9655857
6.091427,8.763734,-0.5061737
1.0281901,-3.940253,2.788045
15.996325,-0.1483911,1.3514165
-22.997734,6.634386,3.278828
7.4705205,0.8691203,2.2507787
-6.949995,4.249692,-5.527265
1.7249528,3.3600142,1.2793219
14.665174,-4.388293,-0.49102512
-32.783333,11.390609,2.5083735
10.20667,2.5686145,3.0034997
-8.723171,6.566866,-1.0069526
31.385048,-4.6570168,3.5913467
-1.900958,4.7240868,-5.1020446
-4.8588586,2.8325958,4.7917137
11.009152,5.6164474,1.2979907
-2.1462488,4.7245407,-5.1329675
11.013963,7.376924,0.81745166
12.417844,7.210298,1.6276011
31.244654,-4.771948,3.3964603
-33.78331,13.026089,1.8790694
29.026136,-2.6142118,5.9571247
10.478837,7.7231565,5.1322284
8.271892,5.982327,-0.8695864
26.248371,-1.4851668,0.058095425
40.259003,-4.1390634,3.5620058
-1.6496916,4.4501305,-4.330652
0.6484088,3.1089826,-5.189554
-29.988052,10.783699,1.0266958
-7.010706,7.75051,3.107257
21.709305,1.5773177,-3.1503317
-1.1714294,0.9440882,6.909194
25.605448,-1.7860286,6.1961637
-15.374568,1.3212028,-7.442653
21.132057,-2.0957496,-3.0491493
-3.1738064,1.8067491,6.300954
-1.7600081,10.51388,2.9672253
-5.329285,7.796455,2.0086138
17.186264,-0.6489069,4.2726307
25.19037,3.9359128,2.3061252
-29.859016,10.378152,0.13039762
-26.674158,5.93048,2.210507
-32.850353,12.014621,1.8959439
-21.166502,6.097592,4.243691
22.800022,-1.460431,5.8894477
-23.326065,6.3894024,2.379176
24.006414,5.5487804,-1.1775751
20.851675,-1.2163035,-2.0719428
-32.930084,13.231428,0.7070181
-33.359818,11.60071,1.8348854
28.599022,-3.7057972,-0.7770263
-18.876223,5.262924,3.7381341
-9.264843,3.5194304,1.8179069
19.382029,-1.0646787,6.700283
-1.8014401,4.87651,-4.680217
-34.20708,11.977943,1.2037044
-3.0920072,2.1604633,-0.017739391
31.440283,-2.6788814,4.4866586
-34.090733,12.291887,0.9557218
20.164036,1.2922922,-5.0040593
19.395586,5.988678,1.4581786
17.064941,6.9281564,-0.26577112
19.496326,4.5070176,1.0169203
11.574051,0.08767516,4.84775
10.2871895,0.30380744,1.9105055
-3.7046955,1.9434118,6.2038493
34.176907,-2.60746,3.2581658
12.865992,0.44202602,0.23912914
-20.881763,4.8969455,1.2799002
-3.1029727,1.5066348,5.7538815
-33.67434,12.499332,0.38677368
34.59553,-1.8015876,0.9704529
19.330006,6.5212264,1.394165
-4.7733984,2.3772085,4.863129
-20.678587,5.3745317,-0.613704
8.36095,5.853822,-3.0143573
4.9223537,4.8919597,-4.6569004
-5.527602,1.7775245,3.9702282
-1.5772753,7.808927,1.9796782
-10.977967,1.390181,2.128318
-3.7419906,1.9498216,6.72415
9.655628,0.8368952,2.0174966
4.5608664,10.073769,-0.09704393
19.91357,2.9262083,3.960265
15.087947,-1.8526578,5.299519
5.0863047,10.200679,-0.093974546
-12.24554,6.811899,-1.1982173
12.429486,0.76309866,0.41627407
18.621426,5.4552937,1.3078108
32.13003,-2.6713068,4.495664
4.1324277,9.481156,-0.60661644
28.642267,-3.3140037,4.047872
-0.92431086,-0.0028766163,6.03097
-27.185278,7.4118094,3.695749
29.623394,-4.365021,2.5166423
16.78997,0.6193236,5.910961
8.612159,7.297044,6.1861053
-15.638978,6.2532816,1.2459662
-13.922419,3.4154756,2.45361
-32.563652,11.878408,2.2791488
-14.192463,3.3107789,-2.147089
-10.513153,5.9362583,-0.0368482
