Info,Info_Set,Accuracy
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,88.37209343910217
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,84.87
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,83.63
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,80.97
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,84.48
Stand (7/11),Exp_2025-07-11-v1/E9AD0E7DCC2B/,84.26
Sit_chair (7/11),Exp_2025-07-11-v2/E9AD0E7DCC2B/,83.82
Stand (7/16),Exp_2025-07-16-v1/E9AD0E7DCC2B/,80.4
Sit_chair (7/16),Exp_2025-07-16-v2/E9AD0E7DCC2B/,82.95
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,86.41
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,87.89
Stand (7/23),Exp_2025-07-23-v1/E9AD0E7DCC2B/,81.8
Sit_chair (7/23),Exp_2025-07-23-v2/E9AD0E7DCC2B/,84.16
Stand (7/25),Exp_2025-07-25-v1/E9AD0E7DCC2B/,90.35
Sit_chair (7/25),Exp_2025-07-25-v2/E9AD0E7DCC2B/,86.4
Stand (8/01),Exp_2025-08-01-v1/E9AD0E7DCC2B/,84.1
Sit_chair (8/01),Exp_2025-08-01-v2/E9AD0E7DCC2B/,85.2
